tweet_id,relevance
1464699026222288906,0
1464703355784159242,1
1464733369019817985,0
1464706140990758930,0
1464708593081630730,0
1464694687298691078,0
1464717318307696645,0
1464693089835040782,0
1464667685858516996,0
1464698996774035461,0
1464705484200546307,0
1464706992631595008,0
1464745470761349122,0
1464696944245317644,0
1464718852890234888,0
1464700959259561989,1
1464700456429576193,0
1464725568893632513,1
1464700215248703488,0
1464710799293825031,0
1464712165009600514,1
1464699028680159244,0
1464703780751122438,0
1464737453953200128,1
1464708127731986445,0
1464383473808932867,1
1464500377114406913,0
1464712485559222280,0
1464459570978471936,1
1464723227905871874,1
1464697821299367936,1
1464731471462154245,1
1464685650716803074,1
1349463869882851328,0
1349432403333435392,0
1348575136593682434,0
1348296809723154434,0
1348029666846593026,0
1348089037538684936,0
1349000267044425728,1
1347618500353921024,0
1350095651804241921,1
1348388257097261056,0
1349393205956116481,1
1347635688238419969,0
1347869007874031616,0
1349468852644683776,0
1348275825582477312,0
1349452384477523971,0
1349424827623481347,1
1349722671659945984,1
1349011263599374338,1
1349395830659276801,1
1349009229840064514,1
1347615050886950912,0
1347583971517980678,1
1348650938622423050,1
1349440579353124864,1
1347553012898783239,1
1348917991061286914,1
1350072371110162436,0
1349755215642243073,0
1349798535810715650,0
1349663762706477056,1
1350005960916561921,1
1349112473488674817,1
1349359646444806144,1
1349879739759079426,0
1349437454542118912,1
1349385859217330176,1
1349427570014564353,1
1405890256822489093,0
1405822476953784320,0
1405889943973642244,0
1405890657949003778,0
1405900440101924864,0
1405890713288650756,0
1404830304955768839,0
1405794914105970690,0
1405995559664734215,0
1405927022711410692,0
1405957567424122882,0
1405905391372976128,0
1405450617624141829,0
1406007550248685573,1
1405902088861892611,1
1405890019882156040,1
1403273800746160128,0
1405973791688249346,1
1405948601965154308,1
1405913017418665987,0
1404480406989254662,0
1405892341702012932,1
1405910940608958469,1
1405929605442064397,0
1404512566840336384,0
1405916039758684163,1
1405895064149180422,1
1405890455808745478,1
1405895997390270468,1
1405909035690381313,1
1405894159018434571,1
1405905453087969282,0
1405896108249960459,1
1406006249217531908,1
1427393862796972032,0
1427170805155237890,1
1427356182889570304,0
1427350940886216710,0
1427397276197076998,0
1426262405672325133,1
1427321841887088645,1
1427303652176318465,1
1427179345370570752,1
1427204751351943168,1
1427397453129596928,1
1427406574872629248,1
1427308854761725953,1
1424777640821596171,0
1427345110572929026,0
1427186132261883913,1
1427190286883688452,1
1426457168346243077,1
1427188050619207680,1
1427338067577294852,1
1427190153638907904,1
1427412742965653506,1
1427405229235056646,1
1427327580101873665,0
1426708477787865099,1
1427370990431096848,1
1426654918241366018,1
1426652019750748163,1
1426644828960567299,1
1427328420279721991,0
1427353194120757252,1
1427403911837663237,1
1425070478348197891,1
1428012648252203009,1
1428013249467985920,1
1428035081550155779,1
1428136050891935746,1
1428093107682304000,1
1428107992155791369,1
1428023165742104579,1
1428097907580981257,1
1428094349535969280,1
1428040491229237252,1
1428047689376206856,1
1428031064421896194,0
1425743891349843975,0
1428027332120428549,1
1427999256699457538,0
1428023448803151872,1
1427676667250622475,0
1428046223668285441,1
1427990265931907076,1
1428017361307815937,1
1428000150719455236,1
1428023049736044555,1
1428012490957393924,0
1428085321544110088,1
1428022424591872011,1
1428008741828448256,1
1426915143699607556,1
1428020136322211843,1
1427969582594146305,1
1469611567562080256,0
1469813350775283712,0
1469648635897991180,0
1469689263147134978,0
1469708745957593094,0
1469664425577783297,0
1469696568441847809,0
1469765462095544321,1
1469638874485850119,1
1469734032246251522,0
1469603140546842624,0
1469595118000914435,1
1469587495457366017,1
1469691849619255301,0
1469686346268790789,1
1469602628199985155,1
1469588156815224838,1
1469598050742063104,0
1469660682589290497,0
1469643387859091461,0
1469637022545502208,0
1469597936967471110,0
1468199550204715015,0
1469669449020100613,1
1469601369673846788,0
1469594617020665856,1
1469748833303158789,1
1469612330807963651,0
1469625803692519425,1
1469675842020200462,0
1469626780365606913,1
1469604165416587264,1
1469663289403707399,0
1469222902885199874,1
1469630328016969728,1
1469777791923204107,1
1469659778540609543,1
1469635621232816131,0
1469612849832017923,0
1469626439955886089,1
1409902555191287812,0
1409836064425054212,0
1409815717957017601,0
1409807985988210692,0
1409972604706897924,0
1409899351892054017,1
1409847744462823435,0
1409858371327508483,0
1409849125923868674,0
1409874990237892626,0
1409879637874860038,0
1409986957514579974,0
1409862218364162049,0
